01_Feature,cfg1,cfg2,cfg3,cfg4,cfg5,cfg6,cfg7
live,False,True,True,True,True,True,True
is_first_base_installation,False,True,any,any,any,any,any
state_data_dump,True,any,any,any,any,any,any
val_bbx_onl_fld,False,True,False,False,any,False,any
undistort,False,True,False,True,any,False,False
remote_calibrations,False,True,False,any,True,True,any
camReboot,False,True,False,False,False,True,False
coco_val_pak,False,True,False,False,any,False,any
adjust_sz_based_on_batter,True,True,False,False,False,True,False
camSetting,True,True,False,True,False,False,False
show_pose_estimation,True,False,False,False,False,True,False
display_pose_estimation,True,False,False,False,False,True,False
save_plot_flag,True,True,False,False,False,True,any
zone_indicator,False,False,False,True,True,False,False
setZone,False,False,False,False,True,False,False
accuracy,False,False,False,True,False,True,any
overlay,True,any,any,any,any,any,any
pose,True,False,False,False,False,True,any
show_pose_estimation_global,True,False,False,False,False,True,False
plot_batter,True,any,False,False,False,True,False
swing_store_less,True,any,False,False,False,True,False
record,False,True,False,False,any,False,False
camStatus,True,True,False,False,False,True,False
april_tag_finder,False,True,True,any,False,False,False
getFrames,False,False,True,False,False,True,True
display,True,any,True,True,any,True,any
rtsp,True,False,any,any,any,any,any
stereo,False,False,False,False,False,True,any
batter_present,True,True,False,False,False,True,any
convert,False,False,False,False,False,False,True
validate,True,False,False,False,False,False,False
getPose,False,False,False,True,False,False,False
camStream,False,True,False,False,False,False,True
pose_estimation,True,False,False,False,False,True,False
profiler,True,any,False,False,False,True,any
display_plots,True,False,True,True,False,True,False
val_bbx_rm_fld,True,any,False,False,any,False,any
new_cams,False,False,False,False,False,False,True
ua,True,True,False,False,False,True,True
validation_model_type,True,"""ball""",True,"""bat""","""""",False,"""""",False,True,"""bat""","""""",False,True,"""bat"""
pixel_format,False,"""""",True,"""BayerRG8""","""BayerRG8""",True,"""BayerRG8""",True,True,"""RGB8""","""BayerRG8""",True,True,"""Mono8"""
sport_type,True,"""softball""",True,"""baseball""","""""",False,"""""",False,False,"""""","""softball""",True,True,"""baseball"""
camera_type,False,"""""",True,"""allied""","""lucid""",True,"""lucid""",True,True,"""allied""",True,"""allied""",True,"""allied"""
tp,False,True,any,any,any,any,any
