Requirement ID,Valid,Rule,Parent Feature,Children Features
ID-0,1,R1,root,abstract_car_app
ID-1,1,R2,abstract_car_app,abstract_transmission
ID-2,1,R2,abstract_car_app,abstract_engine
ID-3,1,R3,abstract_car_app,sunroof
ID-4,1,R2,abstract_car_app,abstract_color
ID-5,1,R3,abstract_car_app,spoiler
ID-6,1,R4,abstract_transmission,"transmission==automatic, transmission==manual"
ID-7,1,R4,abstract_engine,"engine==petrol, engine==electric, engine==hybrid"
ID-8,1,R4,abstract_color,"color==black, color==red, color==white, color==silver"
ID-9,1,R7,transmission==automatic,sunroof
